"Dem-wt","Rep-wt"
"efficiencies","improve"
"doe","overall"
"energy","reduction"
"improved","improved"
"capacity","increase"
"standards","promote"
"levels","effectiveness"
"baseline","reducing"
"overall","efficiencies"
"performance","transparency"
"higher","performance"
"increase","achieve"
"standard","energy"
"test","increasing"
"doe's","standards"
"cost","reduce"
"level","greater"
"achieve","economy"
"manufacturers","standard"
"measured","increased"
